,Ticker,ISIN
0,III,-
1,FOUR,-
2,888,-
3,BAG,-
4,ASLI,-
5,ABDN,-
6,API,-
7,AC8,-
8,ACG,VGG0056A1030
9,ACPE,-
10,ADMR,-
11,ADM,-
12,ADVT,-
13,AEWU,-
14,AFP,-
15,AIQ,-
16,AAF,-
17,AJB,-
18,AJAX,-
19,ALFA,GB00BDHXPG30
20,ALNA,-
21,ALK,GB00BMD6C023
22,ALGW,-
23,AWE,-
24,ALTE,-
25,AIRE,-
26,ALTN,-
27,DISH,-
28,AMGO,-
29,AEX,-
30,AMOI,-
31,AAL,-
32,AEP,-
33,ANTO,-
34,AO,-
35,APTD,-
36,AEET,-
37,AQSG,-
38,ARB,-
39,ARIX,-
40,ASAI,-
41,ASCL,-
42,ASPL,-
43,ASHM,-
44,AHT,-
45,ASIA,-
46,ASC,-
47,ABF,-
48,AGR,-
49,AML,-
50,AZN,-
51,ATN,-
52,ROOF,-
53,ATG,-
54,ARA,GB00BKPH9N11
55,AUTO,-
56,AVGR,-
57,AVAP,-
58,AV,-
59,AVON,-
60,BME,-
61,BAB,-
62,BA,-
63,BAKK,-
64,BCPT,-
65,BBY,-
66,BCG,-
67,BGEO,-
68,BARC,-
69,BDEV,-
70,BVC,-
71,BAY,-
72,BBGI,-
73,BRS,-
74,BEZ,-
75,BWY,-
76,BYG,-
77,BPCR,-
78,BISI,-
79,BFSP,-
80,BRES,-
81,BMY,-
82,BMV,VGG118701058
83,BOY,-
84,BIH,GB00BD70S874
85,BWN,-
86,BP,-
87,BMS,-
88,BREE,-
89,BPT,-
90,BAF,-
91,BATS,-
92,BLND,-
93,BVIC,-
94,BSFA,-
95,BT-A,-
96,BNZL,-
97,BRBY,-
98,BYIT,-
99,CCR,-
100,CAD,-
101,CMRS,-
102,CFYN,-
103,CRN,-
104,CLDN,-
105,CPI,-
106,CAL,-
107,CAPD,-
108,CNE,-
109,GCAT,-
110,CAR,-
111,CARD,-
112,CDFF,-
113,CARR,-
114,CGL,-
115,CGS,-
116,CBA,-
117,CBX,-
118,CEY,-
119,CAU,-
120,CNA,-
121,CHG,-
122,CSN,-
123,CHF,-
124,CHLL,-
125,CINE,-
126,CRES,-
127,CLIG,-
128,CSH,-
129,CIZ,-
130,CKN,-
131,CBG,-
132,CDL,-
133,CLI,-
134,CMCX,-
135,COA,-
136,COBR,-
137,CCH,-
138,CODX,-
139,CPG,-
140,CCC,-
141,CRE,-
142,CGO,-
143,CTEC,-
144,CORD,-
145,COST,-
146,CWK,-
147,CRL,-
148,CRST,-
149,CRH,-
150,CRTM,-
151,CRDA,-
152,CTPT,-
153,CURY,-
154,CZN,-
155,CREI,-
156,DAR,-
157,DARK,-
158,DVT,-
159,DCC,-
160,DLAR,-
161,DPH,-
162,ROO,-
163,DGI,-
164,DLN,-
165,DEV,-
166,DVNO,-
167,DFS,-
168,DGE,-
169,DSI,-
170,DIA,-
171,-,-
172,DPLM,-
173,DLG,-
174,DSCV,-
175,DEC,-
176,DOM,-
177,DNA3,GG00B92LHN58
178,DWL,-
179,DPA,-
180,DPEU,-
181,DOCS,-
182,DRX,-
183,SMDS,-
184,DKE,GB00B6WZDF03
185,DNLM,-
186,DWF,-
187,EISB,-
188,EST,-
189,EZJ,-
190,ECOR,-
191,EPIC,GB00BNGMZB68
192,EJFI,-
193,ELEG,-
194,ELM,-
195,ESP,-
196,ENPL,-
197,ENOG,-
198,ENQ,-
199,ENT,-
200,ESKN,-
201,ESNT,-
202,ETLN,-
203,ECEL,-
204,EVST,-
205,EVR,-
206,EXPN,-
207,FDM,-
208,FXPO,-
209,FAR,-
210,FINS,-
211,FINA,-
212,FCM,-
213,1SN,-
214,FGP,-
215,FIXP,-
216,FLTR,-
217,0OFC,-
218,FSG,GG00BMD8MJ76
219,FORT,-
220,FOXT,-
221,FPP,-
222,FRAS,-
223,FRES,-
224,FSTA,-
225,FCH,-
226,FUTR,-
227,G3E,-
228,GFRD,-
229,GAW,-
230,GEMD,-
231,GENL,-
232,GENF,-
233,GEN,-
234,GNS,-
235,CGEO,-
236,GLEN,-
237,GPH,-
238,GRIT,-
239,GLTR,-
240,GCG,-
241,GDWN,-
242,GPL,-
243,GFTU,-
244,GRI,-
245,GFHG,-
246,GVMH,-
247,GPE,-
248,GSCU,-
249,GNC,-
250,GRG,-
251,GHT,-
252,GR1T,GG00BMDHST63
253,GRIO,-
254,GSC,-
255,GSK,-
256,GST,-
257,GILD,-
258,GVCT,GB00BQD0HG35
259,GKP,-
260,GMS,-
261,HLN,-
262,HFD,-
263,HLMA,-
264,HAMA,-
265,HMSO,-
266,HSD,-
267,HBR,-
268,HL,-
269,HEIT,-
270,HWG,-
271,HNG,-
272,HAS,-
273,HEAD,-
274,HEIQ,-
275,HLCL,-
276,HTWS,-
277,HELD,-
278,HEMO,-
279,BOOT,-
280,HCFT,-
281,HIK,-
282,HILS,-
283,HFG,-
284,HMA1,LU2420558889
285,HSX,-
286,HMSG,-
287,HOC,-
288,BOWL,-
289,HOME,-
290,HOYE,-
291,HSW,-
292,MORE,-
293,HWDN,-
294,HSBA,-
295,HTG,-
296,HGEN,-
297,IBST,-
298,ICON,-
299,IGG,-
300,IKIV,-
301,IMC,-
302,IMI,-
303,IHR,-
304,IMB,-
305,INCH,-
306,INDV,-
307,INF,-
308,IHP,-
309,IDHC,EGS99021C015
310,IHG,-
311,ICP,-
312,IAG,-
313,IDS,-
314,IPF,-
315,ITRK,-
316,IPO,-
317,IQAI,-
318,ICGC,-
319,ITH,-
320,ITV,-
321,IWG,-
322,JDW,-
323,SBRY,-
324,SMJ,-
325,FSJ,-
326,JD,-
327,JEL,-
328,WG,-
329,JMAT,-
330,HSBK,-
331,JTC,-
332,JUP,-
333,JUST,-
334,KNOS,-
335,KNB,-
336,KSPI,-
337,KAV,-
338,KLR,-
339,KLSO,-
340,KEN,-
341,KMR,-
342,KIE,-
343,KCT,-
344,KGF,-
345,0A9X,-
346,LRE,-
347,LAND,-
348,LGEN,-
349,LABS,-
350,LSAA,-
351,LIO,-
352,BOOK,-
353,LLOY,-
354,LMS,-
355,LAS,-
356,LFI,GB0002994001
357,LSEG,-
358,LMP,-
359,LOOK,-
360,LSL,-
361,LUCE,-
362,LXI,-
363,MGCI,-
364,MNG,GB0002577434
365,MACA,-
366,MPO,-
367,MACF,-
368,EMG,-
369,MKS,-
370,MSLH,-
371,MARS,-
372,MAST,-
373,MCB,-
374,MCLS,GB00BJ3VW957
375,MDMG,US55279C2008
376,MEGP,-
377,MER,-
378,MCI,-
379,MGP,-
380,MDC,-
381,MRO,-
382,MNRG,-
383,MTRO,-
384,MHPC,-
385,MILA,-
386,MII,-
387,MMM,-
388,MAB,-
389,MTO,-
390,GLE,-
391,MODE,-
392,GROW,-
393,MNDI,-
394,MONY,-
395,MOON,-
396,TMOR,-
397,MGAM,-
398,MGNS,-
399,MOTR,-
400,MTVW,-
401,MUST,-
402,NANO,-
403,NARF,-
404,NEX,-
405,NG,-
406,NWOR,-
407,NBS,GB00BBQ33664
408,NWG,-
409,NCC,-
410,NZI,-
411,NETW,-
412,NEOA,GB00BNZHM998
413,NRR,-
414,NXT,-
415,N91,-
416,NSF,-
417,NXR,-
418,NOG,-
419,NVIQ,-
420,NFX,-
421,OKEY,-
422,OCI,-
423,OCDO,-
424,OCN,-
425,OFG,GB00BNGFHX14
426,ORIT,-
427,OTB,-
428,ONDO,-
429,OHG,-
430,ORNT,-
431,OSB,-
432,OXB,-
433,OCTP,-
434,OXIG,-
435,ONT,-
436,PAGE,-
437,PCA,-
438,PINT,-
439,PALM,-
440,PAG,-
441,PAY,-
442,PSON,-
443,PERE,-
444,PDG,-
445,PNN,-
446,PPP,-
447,PRE,-
448,PBEE,-
449,PSN,-
450,PHLL,-
451,PDL,-
452,PFC,-
453,PETS,-
454,PHAR,-
455,PHNX,-
456,PSDL,-
457,PCTN,-
458,PNPL,-
459,PTEC,-
460,PLAZ,-
461,PLUS,-
462,PODP,-
463,POLN,-
464,POLY,-
465,PRV,-
466,PPH,-
467,PRD,JE00BFZ1D698
468,PFD,-
469,PHP,-
470,PROC,-
471,PRU,-
472,NLMK,-
473,ROSN,NULL
474,PUAL,GB00BGMG7F10
475,PRTC,-
476,PZC,-
477,QQ,-
478,QLT,-
479,RE,-
480,RBW,-
481,RAT,-
482,RCGH,-
483,RCH,-
484,RKT,-
485,REC,-
486,REDC,-
487,REDD,-
488,RDW,-
489,RGL,-
490,REL,-
491,RWI,-
492,RSW,-
493,RTO,-
494,RESI,-
495,RHIM,-
496,RCDO,-
497,RMV,-
498,RIII,-
499,RIO,-
500,RCP,-
501,RMII,-
502,RM,-
503,RWA,-
504,ROC,-
505,RR,-
506,ROQ,-
507,AGRO,-
508,RGP,-
509,ROR,-
510,RHM,-
511,RS1,-
512,SUS,-
513,SFOR,-
514,SBRE,-
515,SAFE,-
516,SAGA,-
517,SVS,-
518,SBSI,-
519,SERE,GB00BY7R8K77
520,SREI,GB00B01HM147
521,SDR,-
522,SCS,-
523,SCGL,-
524,STB,-
525,SCSP,-
526,SGRO,-
527,SNR,-
528,SEPL,-
529,SRP,-
530,SFR,-
531,SVT,-
532,SHC,-
533,SEFA,-
534,SHEL,-
535,SHI,-
536,SRE,-
537,SIV,-
538,SN,-
539,SMIN,-
540,SNWS,-
541,SCT,GB00BYZDVK82
542,SOLG,-
543,SXS,-
544,SDY,-
545,SPX,-
546,SPI,-
547,SPT,-
548,SPMU,-
549,SSE,-
550,SSPG,-
551,STJ,-
552,STAN,-
553,OBOR,-
554,SRAD,-
555,STEM,-
556,STK,-
557,STVG,-
558,SDRY,-
559,SUPR,-
560,SYME,-
561,SURE,-
562,SIHL,-
563,SYNT,-
564,THRL,-
565,TATE,-
566,TMI,-
567,TW,-
568,TBCG,-
569,CTO,-
570,TCS,-
571,TM1,-
572,TEP,-
573,TEG,-
574,TRA,GB00BNHN6S26
575,TSCO,-
576,THAL,-
577,BKG,-
578,GYM,-
579,LWDB,-
580,PRSR,-
581,QRT,-
582,RNK,-
583,RTN,-
584,SGE,-
585,WEIR,-
586,WRKS,-
587,THG,-
588,TLEP,-
589,TIFS,-
590,TGR,-
591,TMTA,-
592,0MMJ,-
593,TOOP,-
594,TPT,-
595,TOWN,-
596,TCAP,-
597,TRN,-
598,TPK,-
599,TET,-
600,TRD,-
601,TRI,-
602,TENT,-
603,SOHO,GB00BF0P7H59
604,BBOX,-
605,TRST,-
606,TTG,-
607,TLW,-
608,TYMN,-
609,UKCM,-
610,UMR,-
611,ULVR,-
612,UTG,-
613,UU,-
614,UPGS,GB00BYX7MG58
615,UPL,-
616,URAH,-
617,SHED,-
618,VANQ,-
619,VSVS,-
620,GSEO,-
621,VCT,-
622,VID,-
623,VMUK,-
624,VTY,-
625,VKCO,-
626,VOD,-
627,FAN,-
628,VOX,-
629,VP,-
630,WPS,-
631,WCW,-
632,WHR,-
633,WOSG,-
634,SMWH,-
635,WTB,-
636,WIX,-
637,WCAT,-
638,WIL,-
639,WIN,-
640,WISE,-
641,WIZZ,-
642,WKP,-
643,CHSS,-
644,WSL,-
645,WPP,-
646,FIVE,-
647,XAR,-
648,XPP,-
649,XPS,-
650,ZAIM,-
651,ZAMZ,-
652,ZEG,GB00BVGBY890
653,ZEN,-
654,ZTF,-
